REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,DISTRITO,LOC_ZON,ENT_MAN,CATEGORIA,NOM_CATEGO,MANZENT_I,TOTAL_PERS,TOTAL_VIVI,SHAPE_Leng,SHAPE_Area,xcoord,ycoord
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","18","2",PB,"8207031001018","48","18",0.00294445839,0.00000047717,-73.49339,-38.33983
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","28","2",PB,"8207031001028","26","11",0.00463827083,0.00000128436,-73.49084,-38.34023
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","40","2",PB,"8207031001040","50","21",0.00331783011,0.00000063071,-73.48793,-38.34016
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","16","2",PB,"8207031001016","31","16",0.00222021094,0.00000031696,-73.49228,-38.34000
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","19","2",PB,"8207031001019","11","4",0.00217077562,0.00000024543,-73.49415,-38.34011
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","41","2",PB,"8207031001041","38","16",0.00335977498,0.00000066416,-73.48855,-38.34042
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","20","2",PB,"8207031001020","53","14",0.00530654022,0.00000124679,-73.49368,-38.34053
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","42","2",PB,"8207031001042","27","11",0.00786241425,0.00000309057,-73.49022,-38.34111
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","27","2",PB,"8207031001027","52","19",0.00289534166,0.00000051852,-73.49186,-38.34065
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","26","2",PB,"8207031001026","55","26",0.00332748919,0.00000063165,-73.49283,-38.34086
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","59","2",PB,"8207031001059","55","23",0.00386367842,0.00000085888,-73.48779,-38.34143
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","23","2",PB,"8207031001023","30","16",0.00316910296,0.00000059372,-73.49390,-38.34130
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","25","2",PB,"8207031001025","42","18",0.00335033606,0.00000064428,-73.49247,-38.34139
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","58","2",PB,"8207031001058","39","12",0.00326310188,0.00000047382,-73.48832,-38.34165
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","22","2",PB,"8207031001022","31","15",0.00359131518,0.00000070947,-73.49451,-38.34191
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","57","2",PB,"8207031001057","64","27",0.00359973636,0.00000064991,-73.48877,-38.34185
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","24","2",PB,"8207031001024","29","15",0.00308720547,0.00000057138,-73.49351,-38.34183
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","56","2",PB,"8207031001056","24","15",0.00256415582,0.00000037428,-73.48972,-38.34176
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","43","2",PB,"8207031001043","28","14",0.00336693937,0.00000065655,-73.49210,-38.34192
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","21","2",PB,"8207031001021","13","4",0.00443581510,0.00000128301,-73.49535,-38.34228
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","51","2",PB,"8207031001051","46","17",0.00269883570,0.00000040292,-73.49061,-38.34214
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","55","2",PB,"8207031001055","50","20",0.00254554720,0.00000035573,-73.48946,-38.34214
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","44","2",PB,"8207031001044","17","10",0.00302397860,0.00000054659,-73.49315,-38.34235
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","50","2",PB,"8207031001050","28","21",0.00392963324,0.00000096135,-73.49167,-38.34256
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","52","2",PB,"8207031001052","40","17",0.00260191460,0.00000036430,-73.49035,-38.34252
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","61","2",PB,"8207031001061","37","15",0.00257294519,0.00000034410,-73.48806,-38.34251
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","54","2",PB,"8207031001054","45","20",0.00255361247,0.00000035351,-73.48921,-38.34253
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","45","2",PB,"8207031001045","23","12",0.00228362594,0.00000033629,-73.49396,-38.34268
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","49","2",PB,"8207031001049","25","10",0.00344658359,0.00000076018,-73.49273,-38.34299
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","46","2",PB,"8207031001046","12","4",0.00334733845,0.00000063477,-73.49488,-38.34306
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","53","2",PB,"8207031001053","46","18",0.00260192214,0.00000036431,-73.49011,-38.34291
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","63","2",PB,"8207031001063","29","14",0.00230757686,0.00000033605,-73.48871,-38.34295
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","67","2",PB,"8207031001067","13","9",0.00354316401,0.00000074801,-73.49122,-38.34323
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","64","2",PB,"8207031001064","20","9",0.00215503591,0.00000028051,-73.48923,-38.34314
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","48","2",PB,"8207031001048","8","5",0.00284947069,0.00000050953,-73.49352,-38.34332
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","65","2",PB,"8207031001065","25","11",0.00269081782,0.00000043378,-73.48990,-38.34337
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","47","2",PB,"8207031001047","17","4",0.00384932475,0.00000093242,-73.49443,-38.34369
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","68","2",PB,"8207031001068","10","6",0.00303446934,0.00000057408,-73.49226,-38.34369
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","66","2",PB,"8207031001066","11","8",0.00303522999,0.00000043721,-73.49088,-38.34371
