,Unnamed: 0,index,REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,MZ_ENT,ID_ZONA_LOC,ID_MANZENT,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,PUEBLO,VIV_PART,VIV_COL,VPOMP,TOTAL_VIV,CANT_HOG,P01_1,P01_2,P01_3,P01_4,P01_5,P01_6,P01_7,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,MATACEP,MATREC,MATIRREC,P05_1,P05_2,P05_3,P05_4,REGION_15R,PROVINCIA_15R,COMUNA_15R,ID_MANZENT_15R,Coordenada X,Coordenada Y,Provincia Nombre,Comuna Nombre,Area
5778,5778,5779,8,81,8104,2,1,1,11,115,8104021001011,61,24,37,6,8,40,7,0,0,22,0,21,22,21,22,0,0,0,0,0,0,0,2,19,0,0,0,0,0,21,0,0,0,0,16,2,2,1,0,16,5,0,21,0,0,0,8,81,8104,8104021001011,-72.65054,-36.81208,CONCEPCIÓN,FLORIDA,4801
5779,5779,5780,8,81,8104,2,1,1,10,115,8104021001010,52,23,29,6,4,36,6,0,0,16,0,16,16,16,16,0,0,0,0,0,0,0,2,14,0,0,0,0,0,16,0,0,0,0,15,1,0,0,0,15,1,0,16,0,0,0,8,81,8104,8104021001010,-72.65142,-36.81227,CONCEPCIÓN,FLORIDA,3381
5780,5780,5781,8,81,8104,2,1,1,501,115,8104021001501,261,128,133,21,30,177,33,0,10,98,0,86,98,86,95,0,0,0,3,0,0,5,12,58,9,0,1,1,0,85,0,0,0,0,72,4,9,1,0,63,21,1,84,2,0,0,8,81,8104,8104021001501,-72.64782,-36.81527,CONCEPCIÓN,FLORIDA,409020
5781,5781,5782,8,81,8104,2,1,1,28,115,8104021001028,171,99,72,15,26,111,19,0,7,47,0,43,47,43,47,0,0,0,0,0,0,2,5,36,0,0,0,2,0,41,0,0,0,0,32,0,10,0,0,32,10,0,43,0,0,0,8,81,8104,8104021001028,-72.65142,-36.81945,CONCEPCIÓN,FLORIDA,65571
5782,5782,5783,8,81,8104,2,1,1,21,115,8104021001021,19,8,11,0,0,12,0,0,0,6,0,6,6,6,6,0,0,0,0,0,0,0,0,4,2,0,0,1,0,5,0,0,0,0,6,0,0,0,0,4,2,0,6,0,0,0,8,81,8104,8104021001021,-72.65064,-36.81829000000001,CONCEPCIÓN,FLORIDA,1428
5783,5783,5784,8,81,8104,2,1,1,22,115,8104021001022,17,7,10,0,0,11,0,0,0,8,0,7,8,7,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,7,0,0,0,0,4,3,0,7,0,0,0,8,81,8104,8104021001022,-72.65016999999997,-36.8183,CONCEPCIÓN,FLORIDA,1276
5784,5784,5785,8,81,8104,2,1,1,23,115,8104021001023,15,8,7,0,0,10,0,0,0,8,0,7,8,7,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,8,81,8104,8104021001023,-72.6497,-36.8183,CONCEPCIÓN,FLORIDA,1276
5785,5785,5786,8,81,8104,2,1,1,24,115,8104021001024,18,10,8,0,0,11,0,0,0,18,0,9,18,9,18,0,0,0,0,0,0,0,0,8,1,0,0,0,0,9,0,0,0,0,9,0,0,0,0,8,1,0,9,0,0,0,8,81,8104,8104021001024,-72.6487,-36.81952,CONCEPCIÓN,FLORIDA,37566
5786,5786,5787,8,81,8104,2,1,1,27,115,8104021001027,83,42,41,9,8,54,12,0,0,36,0,28,36,28,36,0,0,0,0,0,0,0,4,23,1,0,0,4,0,24,0,0,0,0,16,2,10,0,0,15,13,0,27,0,1,0,8,81,8104,8104021001027,-72.65013,-36.82028,CONCEPCIÓN,FLORIDA,43100
5787,5787,5788,8,81,8104,2,1,1,25,115,8104021001025,30,14,16,0,0,19,4,0,0,7,0,7,7,7,7,0,0,0,0,0,0,0,0,6,1,0,0,3,0,4,0,0,0,0,6,0,0,0,0,6,0,0,3,4,0,0,8,81,8104,8104021001025,-72.64538,-36.82052,CONCEPCIÓN,FLORIDA,100408
5788,5788,5789,8,81,8104,1,1,1,6,2250,8104011001006,37,17,20,0,0,21,9,0,0,11,0,11,11,11,11,0,0,0,0,0,0,0,2,9,0,0,0,2,0,9,0,0,0,0,10,0,1,0,0,10,1,0,11,0,0,0,8,81,8104,8104011001006,-72.66374,-36.82204,CONCEPCIÓN,FLORIDA,7514
5789,5789,5790,8,81,8104,1,1,1,35,2250,8104011001035,64,34,30,0,0,41,15,0,0,30,0,23,30,23,29,0,0,0,1,0,0,0,2,14,6,1,0,4,0,19,0,0,0,0,21,1,1,0,0,16,7,0,21,1,0,1,8,81,8104,8104011001035,-72.66304000000002,-36.83069,CONCEPCIÓN,FLORIDA,44091
5790,5790,5791,8,81,8104,1,1,1,36,2250,8104011001036,94,46,48,6,17,57,14,0,0,32,0,29,32,30,32,0,0,0,0,0,0,1,1,11,16,0,0,1,0,28,0,0,0,0,28,0,1,0,0,12,17,0,22,6,1,0,8,81,8104,8104011001036,-72.66545,-36.82931,CONCEPCIÓN,FLORIDA,54849
5791,5791,5792,8,81,8104,1,1,1,37,2250,8104011001037,67,32,35,6,11,35,15,0,0,30,0,23,30,24,30,0,0,0,0,0,0,1,0,21,1,0,0,0,0,23,0,0,0,0,21,0,1,1,0,20,3,0,21,2,0,0,8,81,8104,8104011001037,-72.66972,-36.82609,CONCEPCIÓN,FLORIDA,168720
5792,5792,5793,8,81,8104,2,1,1,26,115,8104021001026,28,16,12,0,0,19,0,0,0,9,0,9,9,9,9,0,0,0,0,0,0,0,2,7,0,0,0,1,0,8,0,0,0,0,8,0,1,0,0,8,1,0,9,0,0,0,8,81,8104,8104021001026,-72.64878,-36.82113,CONCEPCIÓN,FLORIDA,10991
5793,5793,5794,8,81,8104,2,1,1,37,115,8104021001037,45,27,18,0,7,35,0,0,0,14,0,13,14,13,14,0,0,0,0,0,0,0,3,10,0,0,0,0,0,13,0,0,0,0,12,0,1,0,0,12,1,0,13,0,0,0,8,81,8104,8104021001037,-72.65243000000002,-36.82232,CONCEPCIÓN,FLORIDA,7664
5794,5794,5795,8,81,8104,1,1,1,502,2250,8104011001502,354,155,199,25,50,261,18,0,9,137,0,117,137,117,135,0,0,0,2,0,0,7,76,25,8,0,1,14,0,101,0,0,0,0,109,1,5,1,0,99,14,1,115,2,0,0,8,81,8104,8104011001502,-72.66117,-36.82191,CONCEPCIÓN,FLORIDA,103333
5795,5795,5796,8,81,8104,2,1,1,500,115,8104021001500,117,55,62,11,14,80,12,0,9,42,0,37,42,37,42,0,0,0,0,0,0,0,1,35,1,0,0,2,0,35,0,0,0,0,32,5,0,0,0,31,6,0,37,0,0,0,8,81,8104,8104021001500,-72.64986,-36.81059000000001,CONCEPCIÓN,FLORIDA,17859
5796,5796,5797,8,81,8104,2,1,1,506,115,8104021001506,25,11,14,0,0,17,0,0,0,10,0,9,10,9,10,0,0,0,0,0,0,0,4,5,0,0,0,0,0,9,0,0,0,0,8,0,0,1,0,8,1,0,6,3,0,0,8,81,8104,8104021001506,-72.65324,-36.81684,CONCEPCIÓN,FLORIDA,26390
5797,5797,5798,8,81,8104,2,1,1,33,115,8104021001033,26,13,13,0,0,19,0,0,0,13,0,11,13,11,13,0,0,0,0,0,0,0,0,11,0,0,0,8,0,3,0,0,0,0,9,0,2,0,0,9,2,0,11,0,0,0,8,81,8104,8104021001033,-72.65335999999998,-36.81996,CONCEPCIÓN,FLORIDA,12284
5798,5798,5799,8,81,8104,1,1,1,901,2250,8104011001901,23,9,14,0,6,13,0,0,0,11,0,6,11,6,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,3,3,0,0,8,81,8104,8104011001901,-72.67215999999998,-36.82608,CONCEPCIÓN,FLORIDA,64722
5799,5799,5800,8,81,8105,2,1,1,1,4754,8105021001001,221,101,120,17,33,149,22,0,19,80,0,68,80,68,78,0,0,0,2,0,0,2,13,47,5,0,1,2,0,66,0,0,0,0,65,1,2,0,0,59,8,1,66,0,0,2,8,81,8105,8105021001001,-72.95787,-36.96068,CONCEPCIÓN,HUALQUI,286821
5800,5800,5801,8,81,8105,1,1,4,2,14239,8105011004002,12,7,5,0,0,0,0,0,0,6,0,4,6,5,6,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,0,0,3,1,0,0,0,2,2,0,2,1,0,1,8,81,8105,8105011004002,-72.93711,-36.96184,CONCEPCIÓN,HUALQUI,68556
5801,5801,5802,8,81,8105,1,1,4,4,14239,8105011004004,85,36,49,8,16,52,9,0,5,32,0,31,32,31,32,0,0,0,0,0,0,1,30,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0,31,0,0,0,8,81,8105,8105011004004,-72.93485,-36.96076,CONCEPCIÓN,HUALQUI,3326
5802,5802,5803,8,81,8105,1,1,4,5,14239,8105011004005,84,42,42,5,11,64,4,0,7,33,0,30,33,31,33,0,0,0,0,0,0,1,29,0,0,0,0,1,0,29,0,0,0,0,29,1,0,0,0,29,1,0,30,0,0,0,8,81,8105,8105011004005,-72.93446,-36.96084000000001,CONCEPCIÓN,HUALQUI,3374
5803,5803,5804,8,81,8105,1,1,4,6,14239,8105011004006,102,49,53,9,17,76,0,0,13,32,0,31,32,34,32,0,0,0,0,0,0,2,28,1,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0,31,0,0,0,8,81,8105,8105011004006,-72.93409,-36.96092,CONCEPCIÓN,HUALQUI,3306
