,Unnamed: 0,Unnamed: 0.1,index,REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,MZ_ENT,ID_ZONA_LOC,ID_MANZENT,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,PUEBLO,VIV_PART,VIV_COL,VPOMP,TOTAL_VIV,CANT_HOG,P01_1,P01_2,P01_3,P01_4,P01_5,P01_6,P01_7,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,MATACEP,MATREC,MATIRREC,P05_1,P05_2,P05_3,P05_4,REGION_15R,PROVINCIA_15R,COMUNA_15R,ID_MANZENT_15R,Coordenada X,Coordenada Y,Provincia Nombre,Comuna Nombre,Area,Factor_Riesgo_Manzana
14390,14390,14390,14391,8,83,8301,17,1,2,10,969,8301171002010,98,42,56,10,18,62,8,0,0,32,0,25,32,27,26,1,0,0,5,0,0,0,6,19,0,0,0,1,0,24,0,0,0,0,22,0,0,3,0,22,3,0,25,0,0,0,8,83,8301,8301171002010,-72.34268,-37.48349,BIOBÍO,LOS ÁNGELES,4857,4.104035412806259
14391,14391,14391,14392,8,83,8301,3,1,4,16,4574,8301031004016,43,18,25,0,0,32,7,0,0,14,0,14,14,14,14,0,0,0,0,0,0,1,0,13,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,14,0,0,0,8,83,8301,8301031004016,-72.34976,-37.48361,BIOBÍO,LOS ÁNGELES,4300,1.4020000000000001
14392,14392,14392,14393,8,83,8301,3,1,4,17,4574,8301031004017,36,19,17,0,0,21,8,0,6,14,0,14,14,14,14,0,0,0,0,0,0,1,2,10,1,0,0,0,0,14,0,0,0,0,12,2,0,0,0,11,3,0,14,0,0,0,8,83,8301,8301031004017,-72.34904,-37.48365,BIOBÍO,LOS ÁNGELES,4287,1.6016794961511547
14393,14393,14393,14394,8,83,8301,17,1,2,19,969,8301171002019,108,54,54,9,10,69,20,0,7,34,0,31,34,31,34,0,0,0,0,0,0,0,4,13,13,0,1,0,0,31,0,0,0,0,29,1,1,0,0,17,13,1,31,0,0,0,8,83,8301,8301171002019,-72.3408,-37.48368,BIOBÍO,LOS ÁNGELES,5673,5.903807509254363
14394,14394,14394,14395,8,83,8301,17,1,2,11,969,8301171002011,414,192,222,48,49,297,20,8,27,180,0,150,180,150,21,159,0,0,0,0,0,37,112,0,0,0,0,28,29,92,0,0,0,0,146,0,0,0,0,145,0,0,148,0,0,0,8,83,8301,8301171002011,-72.34329,-37.4838,BIOBÍO,LOS ÁNGELES,9540,14.408679245283022
14395,14395,14395,14396,8,83,8301,17,1,5,5,6302,8301171005005,109,46,63,13,11,67,18,0,4,37,0,33,37,33,37,0,0,0,0,0,0,0,6,25,2,0,0,0,0,33,0,0,0,0,22,3,8,0,0,21,12,0,33,0,0,0,8,83,8301,8301171005005,-72.33736,-37.483740000000004,BIOBÍO,LOS ÁNGELES,4878,6.2044690446904465
14396,14396,14396,14397,8,83,8301,17,1,5,6,6302,8301171005006,97,52,45,10,7,65,15,0,0,33,0,30,33,30,31,0,0,0,2,0,0,1,0,27,1,0,0,0,0,30,0,0,0,0,28,1,1,0,0,26,3,0,30,0,0,0,8,83,8301,8301171005006,-72.3378,-37.4839,BIOBÍO,LOS ÁNGELES,5829,5.203328186652943
14397,14397,14397,14398,8,83,8301,3,1,6,25,13625,8301031006025,165,89,76,12,11,109,33,9,10,63,0,56,63,56,63,0,0,0,0,0,0,14,31,8,3,0,0,39,0,17,0,0,0,0,54,1,1,0,0,51,5,0,56,0,0,0,8,83,8301,8301031006025,-72.35348,-37.48487,BIOBÍO,LOS ÁNGELES,62167,9.900530828252933
14398,14398,14398,14399,8,83,8301,17,1,2,20,969,8301171002020,95,45,50,10,16,60,9,0,15,30,0,27,30,28,30,0,0,0,0,0,0,5,8,10,4,0,0,0,0,26,0,0,0,0,24,0,1,1,0,20,5,0,27,0,0,0,8,83,8301,8301171002020,-72.34052,-37.48404,BIOBÍO,LOS ÁNGELES,5657,3.803358670673502
14399,14399,14399,14400,8,83,8301,17,1,5,7,6302,8301171005007,118,65,53,11,18,82,7,0,4,33,0,32,33,32,30,0,0,0,3,0,0,0,5,25,2,0,0,0,0,32,0,0,0,0,30,0,0,1,0,28,3,0,32,0,0,0,8,83,8301,8301171005007,-72.3383,-37.48406,BIOBÍO,LOS ÁNGELES,6077,3.9038834951456316
14400,14400,14400,14401,8,83,8301,17,1,5,44,6302,8301171005044,134,71,63,14,20,100,0,0,0,34,0,33,34,37,34,0,0,0,0,0,0,5,26,1,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,32,0,0,32,0,0,0,8,83,8301,8301171005044,-72.33075,-37.483959999999996,BIOBÍO,LOS ÁNGELES,5028,2.8053301511535405
14401,14401,14401,14402,8,83,8301,17,1,2,12,969,8301171002012,285,130,155,26,48,197,14,0,28,113,0,99,113,99,8,105,0,0,0,0,0,53,44,2,0,0,0,6,44,49,0,0,0,0,97,0,0,0,0,97,0,0,98,0,0,0,8,83,8301,8301171002012,-72.34391,-37.48427,BIOBÍO,LOS ÁNGELES,9907,8.005753507620875
14402,14402,14402,14403,8,83,8301,17,1,5,45,6302,8301171005045,106,48,58,0,22,72,0,0,8,31,0,29,31,29,31,0,0,0,0,0,0,1,28,0,0,0,0,0,0,29,0,0,0,0,28,0,1,0,0,28,1,0,28,0,0,0,8,83,8301,8301171005045,-72.33121,-37.483979999999995,BIOBÍO,LOS ÁNGELES,4557,0.004652183454026772
14403,14403,14403,14404,8,83,8301,3,1,4,19,4574,8301031004019,544,262,282,33,53,419,39,0,19,196,0,187,196,187,194,0,0,2,0,0,0,44,125,14,2,2,0,6,1,179,0,0,0,0,177,1,7,2,0,173,13,0,187,0,0,0,8,83,8301,8301031004019,-72.34979,-37.48574,BIOBÍO,LOS ÁNGELES,112019,14.400971263803463
14404,14404,14404,14405,8,83,8301,17,1,5,8,6302,8301171005008,111,60,51,10,16,73,12,0,0,34,0,33,34,33,32,0,0,2,0,0,0,1,9,21,2,0,0,0,0,33,0,0,0,0,21,0,10,2,0,20,13,0,33,0,0,0,8,83,8301,8301171005008,-72.33878,-37.48423,BIOBÍO,LOS ÁNGELES,5336,4.404160419790106
14405,14405,14405,14406,8,83,8301,17,1,5,46,6302,8301171005046,103,47,56,7,14,76,6,0,15,30,0,29,30,30,30,0,0,0,0,0,0,0,16,13,0,0,0,13,0,15,1,0,0,0,29,0,0,0,0,28,1,0,29,0,0,0,8,83,8301,8301171005046,-72.33164000000002,-37.48402,BIOBÍO,LOS ÁNGELES,3864,2.605331262939959
14406,14406,14406,14407,8,83,8301,17,1,5,47,6302,8301171005047,92,39,53,9,10,56,17,0,12,40,0,40,40,40,40,0,0,0,0,0,0,0,13,26,1,0,0,0,0,40,0,0,0,0,38,0,2,0,0,37,3,0,40,0,0,0,8,83,8301,8301171005047,-72.33224,-37.48395,BIOBÍO,LOS ÁNGELES,6597,5.20278914658178
14407,14407,14407,14408,8,83,8301,17,1,2,17,969,8301171002017,129,67,62,16,11,87,15,0,6,40,0,38,40,39,36,0,0,2,2,0,0,0,10,17,11,0,0,0,0,38,0,0,0,0,30,5,3,0,0,21,17,0,38,0,0,0,8,83,8301,8301171002017,-72.34163000000002,-37.48431,BIOBÍO,LOS ÁNGELES,5465,6.404720951509606
